probe,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
38703,4.226800907,4.172146962,3.903161019,3.938637497,3.88654738,3.834475091,3.997247011,3.925294098,3.834238038,3.827320028,3.793663406,3.97645583,2.880156684,3.039969125,2.967657155,2.676476152,3.071454742,2.989290168,2.774819547,2.952566692,2.805833363,2.684953207,2.905791563,2.739428445
38729,5.453237112,5.373975672,5.250212248,5.233094004,5.350537098,5.298142757,5.694028959,5.379274951,5.508920081,5.494351634,5.205401877,5.599278298,3.271614495,3.653948905,3.260665745,3.346991472,3.410763476,3.385139295,2.253369086,2.411629673,2.158073525,2.186783512,2.221308496,2.146417306
38763,5.183898557,5.20375314,5.176439761,5.159727157,5.115388857,5.114832975,4.869014312,4.795613137,4.861307594,4.90889308,4.75607463,4.871202669,3.539457511,3.744086673,3.711497007,3.567232568,3.663371464,3.634657441,3.662232601,3.764168021,3.544935968,3.654155594,3.700328985,3.768151373
38771,5.393131489,5.50332032,5.198272106,5.608152968,5.506063351,5.335237131,4.223884389,3.999750656,3.964864276,4.21248631,4.191251169,3.961428352,4.89532639,5.042904977,4.722759412,5.072893126,4.976067003,4.854103414,4.753494557,4.808135219,4.786999992,4.929773988,4.901039405,4.673465905
38777,3.739261457,3.64400459,3.597405138,3.229069419,3.543071074,3.369694247,4.279638919,4.049906403,4.008500782,4.129154423,4.237140848,4.190516977,2.402029383,2.370171091,2.305369418,2.383579438,2.390617849,2.344056117,1.8567339,1.876147686,1.978683306,1.91685466,1.890324604,2.015165095
38783,7.903561906,7.850829695,7.7767273,7.914351048,7.806828146,7.752134309,8.425269373,8.171481171,8.280695784,8.447197829,8.264365887,8.129610405,7.05813837,7.178786762,7.134368274,7.156942964,7.050855582,7.049526761,5.067245093,5.135000161,5.243451599,5.050779277,5.204387748,4.971731192
38808,7.704832653,7.679157034,7.393523366,7.604068583,7.466640974,7.642764874,6.986139789,6.526188414,6.554006121,6.874702929,6.923248291,6.682562661,2.811402013,2.878038185,2.880069584,2.892735843,2.788513441,2.710924439,2.788272542,2.924980013,2.830777558,2.712136341,2.916501319,3.004492215
38819,5.502322472,5.294839964,5.291568602,5.589061926,5.200216159,5.694443631,5.876762218,5.718634874,5.761831024,5.874836713,5.62446138,5.932021713,7.278275397,7.461265619,7.239480549,7.077790124,7.424077205,7.402441912,7.779490299,7.773971185,7.734510084,7.696955031,8.005344897,7.806377862
38827,5.852893442,5.813484384,5.718392921,5.883992041,5.778384439,5.73113448,5.782768916,5.805847719,5.739508911,5.872176109,5.605589699,5.569498208,4.077709827,4.38213424,3.967883418,4.045040132,4.23949218,4.073466703,3.816108135,3.871125773,3.820727734,3.608739397,3.755211594,3.693286491
38835,3.160881278,3.28813057,3.137830252,3.06365105,2.960308829,3.040281784,2.645870265,2.69619718,2.424095076,2.480930544,2.467850239,2.458484777,2.163947404,2.200953938,2.16937842,2.097103097,2.066097661,2.185135201,1.784522717,1.917528066,2.085635219,1.86639508,2.165292678,1.87811565
38840,9.954790019,9.811077657,9.85543544,10.19832307,9.988809856,9.968154545,9.910714488,10.03590019,10.00889901,10.28847684,10.0579498,9.819185002,7.339996209,7.439713817,7.210173231,7.344575293,7.353174329,7.171947178,6.326381078,6.362737762,6.38813802,6.389547056,6.55675493,6.343908878
38888,4.612363464,4.492044537,4.364382798,4.680483643,4.601204824,4.500950968,4.360971851,4.293850703,4.192096516,4.377562623,4.516572903,4.277578571,3.511722565,3.597658367,3.292388152,3.496376322,3.402744677,3.49170001,3.045882971,3.172449142,3.239359685,3.115686554,3.058738077,2.971673798
38942,2.843513295,2.82108905,2.558801208,2.657639592,2.741105075,2.727122598,2.976919973,2.809143025,2.906846325,2.855539726,2.801578611,3.054734249,3.545764071,3.964939816,3.668940307,3.745480536,3.639435339,3.57077014,3.4488625,3.709421805,3.463931588,3.376498867,3.485164248,3.467548813
38954,4.02888307,3.964562874,3.922473811,3.953575902,3.992967488,3.858470233,2.658641913,2.646992208,2.658900949,2.8087986,2.773640551,2.671039286,3.256693228,3.312555074,2.986746877,3.510997946,3.260554613,3.218666668,3.213837656,3.292294125,3.345343872,3.159195594,3.302698432,3.017154453
38972,4.290799995,4.307935553,4.344555777,4.205159235,4.072580291,4.446794113,3.549747567,3.336297629,3.510986525,3.358454084,3.3551404,3.378702463,3.36152561,3.569827988,3.39408122,3.108693849,3.436014147,3.263222399,2.971422355,3.124274448,2.896924635,2.984462899,3.096131361,3.127071861
38973,4.310605985,4.465121799,4.254962693,4.333610581,4.352967303,4.207645481,2.961258472,2.791246851,2.778783819,2.952945592,2.682374338,2.900742269,5.090429582,5.091118427,5.027066681,5.059145874,5.12899506,4.916861608,5.167474168,5.348679918,5.064570586,5.234978478,5.231316885,5.00860087
