probe,0,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
44629,ILMN_3151917,2.060320425,2.12008711,2.26563426,2.110792241,2.159169147,2.130798928,2.228291603,2.222425398,2.211233386,2.363817251,2.435053278,2.225758241,2.601590231,2.675760771,2.655688501,2.73440097,2.393438109,2.645482228,2.649845432,2.61498069,2.614261757,2.420461666,2.535730969,2.584267056
44631,ILMN_3152079,2.863732094,2.730779377,2.751657232,2.696074936,2.705024185,2.706139417,2.582528872,2.491303771,2.60293893,2.484611437,2.456382186,2.575434259,2.996466349,3.263095029,3.112673261,2.957672673,3.150760081,3.108544263,3.255222823,3.419884973,3.15720611,3.459879473,3.381839451,3.370391569
44638,ILMN_3152389,2.510388823,2.343574396,2.514356892,2.600584229,2.528131583,2.688670493,2.188163015,2.40363987,2.215251703,2.275736838,2.293128108,2.266922047,3.473970489,3.682275877,3.451051663,3.583683601,3.553293279,3.573073512,3.538080935,3.672362912,3.784695551,3.557784192,3.642811221,3.63057544
44641,ILMN_3152506,2.345466838,2.36249515,2.282981276,2.277200073,2.389717108,2.509257422,2.882687936,2.63747041,2.675806796,2.763877934,2.677847751,2.772788458,2.816766865,2.973603301,3.013932382,3.217645785,3.036281265,2.911111003,2.905576483,2.999309958,3.048964725,2.881154705,2.979590406,2.968184873
44645,ILMN_3152792,5.707360206,5.688991181,5.468705009,5.73787977,5.895800567,5.680140776,5.978965493,5.819135197,5.852758876,6.043945039,5.949479566,5.923478159,6.81006755,6.935282857,6.848441421,7.276842208,6.999438142,6.8745013,6.922875624,6.964899693,6.783030494,6.919675593,6.795457341,6.675752528
44653,ILMN_3153421,2.587798137,2.599064993,2.471093294,2.626997528,2.600688545,2.47427843,2.65855901,2.627337102,2.641927315,2.737516235,2.716916673,2.714313159,2.241586255,2.149299057,2.137081331,2.272307923,2.242175975,2.156429686,2.277200008,2.232471857,2.253637561,2.33605677,2.299658293,2.203103391
44655,ILMN_3153450,4.848167003,5.083946199,4.73237415,5.045860309,4.757936812,4.981854574,5.459210386,4.885489962,5.01428967,5.167228398,5.126703301,5.220627516,4.360261003,4.641668024,4.171858536,4.260177352,4.392538065,4.378128215,4.490042834,4.658415264,4.327289576,4.344099539,4.500155511,4.356824136
44658,ILMN_3153753,2.113940978,1.873262297,2.01800704,2.097090215,2.132869646,1.992726571,1.814436475,1.909376015,1.893396271,1.813719171,1.890371511,1.884389762,2.066845537,2.286678006,2.091934625,2.202397311,2.198324929,2.233561374,2.103810994,2.381090844,2.007811721,2.331846828,2.230365046,2.184016121
44660,ILMN_3153835,2.115118469,2.053712878,2.070004541,1.897605169,1.897951783,1.957925574,2.063450515,1.961359313,1.943182903,1.874811707,1.882078349,1.889876975,2.338713742,2.293798362,2.31272879,2.08344473,2.421557795,2.316281955,2.237851245,2.338237223,2.261619968,2.400826957,2.385398988,2.330089237
44664,ILMN_3153982,5.496572423,5.407066313,5.481945526,5.383751,5.473809117,5.425914263,4.923956448,4.83700264,4.650407526,4.853701157,4.875837139,4.814033422,5.898471457,6.051290963,5.773805948,6.018294807,5.780599078,5.820776374,5.603218656,5.748733716,5.719646399,5.605163591,5.60587519,5.529001228
44677,ILMN_3154351,3.177815183,3.058255832,3.015352015,2.933878623,3.211403273,2.997863332,3.237418238,3.19733944,3.113216307,3.12146056,2.892912705,3.270291511,3.434382495,3.657531341,3.610745048,3.531408159,3.606190931,3.596485296,3.554225655,3.654672084,3.839118623,3.549167091,3.785591058,3.696923045
44679,ILMN_3154419,4.093578522,3.925030144,3.804191472,4.072529778,4.109901058,3.844716613,5.903345415,5.476934357,5.256180207,5.59751601,5.733353365,5.56747272,6.433207582,6.622585574,6.496532177,6.953780496,6.540143538,6.457749132,6.118266082,6.121682896,6.058872599,6.137411129,6.105796374,5.985576568
44683,ILMN_3154581,3.149468489,3.149801432,3.102528777,3.228376657,3.16596028,3.157771347,2.822544434,2.808806819,2.748206397,2.927208428,2.835164486,2.704686696,4.114791989,4.267381394,4.084917704,4.220441461,4.090057395,4.110194245,4.797038414,5.002786282,4.711384105,4.922383585,4.870709064,4.638664293
44685,ILMN_3154691,4.976779721,4.804150558,4.64467437,4.888457213,4.632684435,4.730750534,4.896455233,4.787764038,4.826840925,5.013339631,4.789628562,4.894610346,5.6816994,5.977154465,5.816839309,6.143466785,5.827810762,5.782655762,5.728647321,5.850079928,5.758917364,5.785236792,5.92098671,5.628902598
44687,ILMN_3154820,2.926573143,2.861498661,2.830528004,2.911975725,2.936337446,2.838668009,3.821764642,3.61163869,3.816668903,3.929666782,3.599448632,3.760780061,5.189711162,5.424910587,5.113321478,5.321927569,5.314633684,5.263307692,4.329395176,4.566700185,4.457117416,4.550356728,4.393078219,4.395098355
44689,ILMN_3154869,1.980624158,1.738256786,1.960059872,1.856190875,1.98841624,1.898523918,2.31219282,2.553015337,2.488889544,2.522541867,2.465868413,2.384757728,2.151411066,2.069144757,2.050384227,2.297902513,2.203521502,2.228930112,2.163082976,2.276486419,2.197028968,2.25004483,2.449225381,2.318934513
44694,ILMN_3155217,1.702608422,1.760554172,1.759479667,1.901229697,1.974449251,1.88875589,2.161279296,2.005484604,2.223087365,2.188297583,2.180029434,2.350128966,1.698601256,1.520473105,1.70942372,1.810957019,1.72995406,1.55115563,1.53440055,1.518507462,1.653078446,1.692527078,1.694708029,1.664678496
44696,ILMN_3155245,6.097346565,5.937413179,6.018037408,5.921396887,6.122336233,5.898899001,4.804844903,4.563693555,4.574833519,4.940629985,4.636673482,4.632152868,6.485698063,6.706525439,6.214666306,6.576841153,6.281500715,6.395666893,7.366992669,7.521424933,7.351772239,7.30353663,7.356498051,7.162476356
